id,name,league_id,created_at,updated_at
125,Northwich Victoria,37,2011-10-08 17:55:18.805152,2012-07-30 06:57:12.736052
126,Eastbourne Borough,11,2011-10-08 18:04:25.330976,2012-07-30 06:47:48.338103
127,Merthyr Tydfil,20,2011-10-11 17:40:15.370335,2011-10-11 17:44:23.359498
128,Oxford City,21,2011-10-11 17:42:11.564813,2011-10-11 17:42:11.564813
129,Boston Town,23,2011-10-12 16:55:31.794975,2011-10-12 16:55:31.794975
130,Hinckley Downes,22,2011-10-12 16:55:43.888687,2011-10-12 16:58:25.110264
131,Ashton United,24,2011-10-12 16:59:00.236468,2011-10-12 17:02:59.872811
132,Kendal Town,24,2011-10-12 17:01:07.323055,2011-10-12 17:01:07.323055
133,Sigma Olomouc,25,2011-10-12 17:09:28.239695,2011-10-12 17:09:28.239695
134,Airbus UK,26,2011-10-12 17:12:22.761657,2011-10-12 17:14:20.603924
135,Rhyl,26,2011-10-12 17:12:35.659374,2011-10-12 17:12:35.659374
136,Shamrock Rovers,27,2011-10-12 17:26:16.50356,2011-10-12 17:28:57.10294
137,Bohemians,27,2011-10-12 17:26:33.987965,2011-10-12 17:26:33.987965
138,Glentoran,28,2011-10-12 17:30:06.862991,2011-10-12 17:32:19.171879
139,Lisburn Distillery,28,2011-10-12 17:30:27.487788,2011-10-12 17:30:27.487788
140,Lancaster City,29,2011-10-13 07:11:46.469855,2011-10-13 07:13:37.166346
141,Bamber Bridge,29,2011-10-13 07:11:59.613416,2011-10-13 07:11:59.613416
142,St. Mirren,16,2011-10-13 07:14:41.250708,2011-10-13 07:16:46.550992
143,Kilmarnock,16,2011-10-13 07:14:55.063004,2011-10-13 07:14:55.063004
144,Rangers,16,2011-10-13 07:15:16.139606,2011-10-14 16:46:11.511576
145,Ilkeston Town,38,2011-10-13 17:04:09.896427,2012-07-30 07:23:33.868845
146,Drogheda United,27,2011-10-13 17:10:17.305536,2011-10-13 17:13:28.809068
147,Dundalk,27,2011-10-13 17:10:30.231572,2011-10-13 17:18:46.567831
148,Linfield,28,2011-10-13 17:14:27.991682,2011-10-13 17:16:43.804032
149,Cliftonville,28,2011-10-13 17:14:42.047834,2011-10-13 17:14:42.047834
150,Braintree Town,9,2011-10-14 16:23:18.219339,2011-10-14 16:25:31.161421
151,Havant & Waterlooville,11,2011-10-14 16:23:30.029164,2011-10-14 16:23:30.029164
152,Bath City,11,2011-10-14 16:30:38.217345,2012-07-30 06:44:14.030126
